DateTime,Date,Hour,Day of the Week,Season,Daytime,Consumption (kW)
04/03/2021 20:00,04/03/2021,20:00:00,3,1,0,0.2
04/03/2021 20:15,04/03/2021,20:15:00,3,1,0,0.204
04/03/2021 20:30,04/03/2021,20:30:00,3,1,0,0.576
04/03/2021 20:45,04/03/2021,20:45:00,3,1,0,0.184
04/03/2021 21:00,04/03/2021,21:00:00,3,1,0,0.136
04/03/2021 21:15,04/03/2021,21:15:00,3,1,0,0.144
04/03/2021 21:30,04/03/2021,21:30:00,3,1,0,0.176
04/03/2021 21:45,04/03/2021,21:45:00,3,1,0,0.16
04/03/2021 22:00,04/03/2021,22:00:00,3,1,0,0.12
04/03/2021 22:15,04/03/2021,22:15:00,3,1,0,0.156
04/03/2021 22:30,04/03/2021,22:30:00,3,1,0,0.236
04/03/2021 22:45,04/03/2021,22:45:00,3,1,0,0.224
04/03/2021 23:00,04/03/2021,23:00:00,3,1,0,0.204
04/03/2021 23:15,04/03/2021,23:15:00,3,1,0,0.216
04/03/2021 23:30,04/03/2021,23:30:00,3,1,0,0.256
04/03/2021 23:45,04/03/2021,23:45:00,3,1,0,0.192
05/03/2021 00:00,05/03/2021,00:00:00,4,1,0,0.16
05/03/2021 00:15,05/03/2021,00:15:00,4,1,0,0.168
05/03/2021 00:30,05/03/2021,00:30:00,4,1,0,0.196
05/03/2021 00:45,05/03/2021,00:45:00,4,1,0,0.148
05/03/2021 01:00,05/03/2021,01:00:00,4,1,0,0.128
05/03/2021 01:15,05/03/2021,01:15:00,4,1,0,0.14
05/03/2021 01:30,05/03/2021,01:30:00,4,1,0,0.164
05/03/2021 01:45,05/03/2021,01:45:00,4,1,0,0.132
05/03/2021 02:00,05/03/2021,02:00:00,4,1,0,0.116
05/03/2021 02:15,05/03/2021,02:15:00,4,1,0,0.136
05/03/2021 02:30,05/03/2021,02:30:00,4,1,0,0.156
05/03/2021 02:45,05/03/2021,02:45:00,4,1,0,0.12
05/03/2021 03:00,05/03/2021,03:00:00,4,1,0,0.116
